Rank,Country,2023 Population,Yearly Change,Projected Population
1,India,1428627663,0.0081,1440199547
2,China,1425671352,-0.0002,1425386218
3,United States,339996563,0.005,341696545.8
4,Indonesia,277534122,0.0074,279587874.5
5,Pakistan,240485658,0.0198,245247274
6,Nigeria,223804632,0.0241,229198323.6
7,Brazil,216422446,0.0052,217547842.7
8,Bangladesh,172954319,0.0103,174735748.5
9,Russia,144444359,-0.0019,144169914.7
10,Mexico,128455567,0.0075,129418983.8
11,Ethiopia,126527060,0.0255,129753500
12,Japan,123294513,-0.0053,122641052.1
13,Philippines,117337368,0.0154,119144363.5
14,Egypt,112716598,0.0156,114474976.9
15,DR Congo,102262808,0.0329,105627254.4
16,Vietnam,98858950,0.0068,99531190.86
17,Iran,89172767,0.007,89796976.37
18,Turkey,85816199,0.0056,86296769.71
19,Germany,83294633,-0.0009,83219667.83
20,Thailand,71801279,0.0015,71908980.92
21,United Kingdom,67736802,0.0034,67967107.13
22,Tanzania,67438106,0.0296,69434273.94
23,France,64756584,0.002,64886097.17
24,South Africa,60414495,0.0087,60940101.11
25,Italy,58870762,-0.0028,58705923.87
26,Kenya,55100586,0.0199,56197087.66
27,Myanmar,54577997,0.0074,54981874.18
28,Colombia,52085168,0.0041,52298717.19
29,South Korea,51784059,-0.0006,51752988.56
30,Uganda,48582334,0.0282,49952355.82
31,Sudan,48109006,0.0263,49374272.86
32,Spain,47519628,-0.0008,47481612.3
33,Argentina,45773884,0.0058,46039372.53
34,Algeria,45606480,0.0157,46322501.74
35,Iraq,45504560,0.0227,46537513.51
36,Afghanistan,42239854,0.027,43380330.06
37,Poland,41026067,0.0293,42228130.76
38,Canada,38781291,0.0085,39110931.97
39,Morocco,37840044,0.0102,38226012.45
40,Saudi Arabia,36947025,0.0148,37493840.97
41,Ukraine,36744634,-0.0745,34007158.77
42,Angola,36684202,0.0308,37814075.42
43,Uzbekistan,35163944,0.0155,35708985.13
44,Yemen,34449825,0.0224,35221501.08
45,Peru,34352719,0.0089,34658458.2
46,Malaysia,34308525,0.0109,34682487.92
47,Ghana,34121985,0.0193,34780539.31
48,Mozambique,33897354,0.0281,34849869.65
49,Nepal,30896590,0.0114,31248811.13
50,Madagascar,30325732,0.0241,31056582.14
51,Côte d'Ivoire,28873034,0.0253,29603521.76
52,Venezuela,28838499,0.019,29386430.48
53,Cameroon,28647293,0.0263,29400716.81
54,Niger,27202843,0.038,28236551.03
55,Australia,26439111,0.01,26703502.11
56,North Korea,26160821,0.0035,26252383.87
57,Taiwan,23923276,0.0013,23954376.26
58,Mali,23293698,0.031,24015802.64
59,Burkina Faso,23251485,0.0255,23844397.87
60,Syria,23227014,0.0498,24383719.3
61,Sri Lanka,21893579,0.0028,21954881.02
62,Malawi,20931751,0.0258,21471790.18
63,Zambia,20569737,0.0276,21137461.74
64,Romania,19892812,0.0119,20129536.46
65,Chile,19629590,0.0013,19655108.47
66,Kazakhstan,19606633,0.0108,19818384.64
67,Chad,18278568,0.0313,18850687.18
68,Ecuador,18190484,0.0105,18381484.08
69,Somalia,18143378,0.031,18705822.72
70,Guatemala,18092026,0.0139,18343505.16
71,Senegal,17763163,0.0258,18221452.61
72,Netherlands,17618299,0.0031,17672915.73
73,Cambodia,16944826,0.0106,17124441.16
74,Zimbabwe,16665409,0.0211,17017049.13
75,Guinea,14190612,0.0239,14529767.63
76,Rwanda,14094683,0.0231,14420270.18
77,Benin,13712828,0.027,14083074.36
78,Burundi,13238559,0.0271,13597323.95
79,Tunisia,12458223,0.0083,12561626.25
80,Bolivia,12388571,0.0135,12555816.71
81,Haiti,11724763,0.0121,11866632.63
82,Belgium,11686140,0.0026,11716523.96
83,Jordan,11337052,0.0045,11388068.73
84,Dominican Republic,11332972,0.0093,11438368.64
85,Cuba,11194449,-0.0016,11176537.88
86,South Sudan,11088796,0.0161,11267325.62
87,Sweden,10612086,0.0059,10674697.31
88,Honduras,10593798,0.0154,10756942.49
89,Czech Republic (Czechia),10495295,0.0001,10496344.53
90,Azerbaijan,10412651,0.0053,10467838.05
91,Greece,10341277,-0.0042,10297843.64
92,Papua New Guinea,10329931,0.0185,10521034.72
93,Portugal,10247605,-0.0023,10224035.51
94,Hungary,10156239,0.019,10349207.54
95,Tajikistan,10143543,0.0192,10338299.03
96,United Arab Emirates,9516871,0.008,9593005.968
97,Belarus,9498238,-0.0039,9461194.872
98,Israel,9174520,0.0151,9313055.252
99,Togo,9053799,0.0232,9263847.137
100,Austria,8958960,0.0022,8978669.712
101,Switzerland,8796669,0.0064,8852967.682
102,Sierra Leone,8791092,0.0215,8980100.478
103,Laos,7633779,0.0139,7739888.528
104,Hong Kong,7491609,0.0004,7494605.644
105,Serbia,7149077,-0.01,7077586.23
106,Nicaragua,7046310,0.0141,7145662.971
107,Libya,6888388,0.0112,6965537.946
108,Paraguay,6861524,0.0119,6943176.136
109,Kyrgyzstan,6735347,0.0158,6841765.483
110,Bulgaria,6687717,-0.0139,6594757.734
111,Turkmenistan,6516100,0.0133,6602764.13
112,El Salvador,6364943,0.0045,6393585.244
113,Congo,6106869,0.0229,6246716.3
114,Singapore,6014723,0.0065,6053818.7
115,Denmark,5910913,0.0049,5939876.474
116,Slovakia,5795199,0.0269,5951089.853
117,Central African Republic,5742315,0.0292,5909990.598
118,Finland,5545475,0.0009,5550465.928
119,Norway,5474360,0.0074,5514870.264
120,Liberia,5418377,0.0218,5536497.619
121,State of Palestine,5371230,0.0231,5495305.413
122,Lebanon,5353930,-0.0247,5221687.929
123,New Zealand,5228100,0.0083,5271493.23
124,Costa Rica,5212173,0.006,5243446.038
125,Ireland,5056935,0.0067,5090816.465
126,Mauritania,4862989,0.0268,4993317.105
127,Oman,4644384,0.0149,4713585.322
128,Panama,4468087,0.0135,4528406.175
129,Kuwait,4310108,0.0097,4351916.048
130,Croatia,4008617,-0.0054,3986970.468
131,Eritrea,3748901,0.0176,3814881.658
132,Georgia,3728282,-0.0043,3712250.387
133,Mongolia,3447157,0.0144,3496796.061
134,Moldova,3435931,0.0498,3607040.364
135,Uruguay,3423108,0.0001,3423450.311
136,Puerto Rico,3260314,0.0024,3268138.754
137,Bosnia and Herzegovina,3210847,-0.007,3188371.071
138,Albania,2832439,-0.0035,2822525.464
139,Jamaica,2825544,-0.0006,2823848.674
140,Armenia,2777970,-0.0009,2775469.827
141,Gambia,2773168,0.0248,2841942.566
142,Lithuania,2718352,-0.0115,2687090.952
143,Qatar,2716391,0.0079,2737850.489
144,Botswana,2675352,0.0171,2721100.519
145,Namibia,2604172,0.0145,2641932.494
146,Gabon,2436566,0.0199,2485053.663
147,Lesotho,2330318,0.0106,2355019.371
148,Guinea-Bissau,2150842,0.0215,2197085.103
149,Slovenia,2119675,-0.0001,2119463.033
150,North Macedonia,2085679,-0.0038,2077753.42
151,Latvia,1830211,-0.011,1810078.679
152,Equatorial Guinea,1714671,0.0237,1755308.703
153,Trinidad and Tobago,1534937,0.0025,1538774.343
154,Bahrain,1485509,0.009,1498878.581
155,Timor-Leste,1360596,0.0144,1380188.582
156,Estonia,1322765,-0.0025,1319458.088
157,Mauritius,1300557,0.0008,1301597.446
158,Cyprus,1260138,0.0069,1268832.952
159,Eswatini,1210822,0.0076,1220024.247
160,Djibouti,1136455,0.0139,1152251.725
161,Réunion,981796,0.008,989650.368
162,Fiji,936375,0.0071,943023.2625
163,Comoros,852075,0.0183,867667.9725
164,Guyana,813834,0.0063,818961.1542
165,Bhutan,787424,0.0064,792463.5136
166,Solomon Islands,740424,0.0223,756935.4552
167,Macao,704149,0.0129,713232.5221
168,Luxembourg,654768,0.0111,662035.9248
169,Montenegro,626485,-0.001,625858.515
170,Suriname,623236,0.0084,628471.1824
171,Cabo Verde,598682,0.0093,604249.7426
172,Western Sahara,587259,0.0196,598769.2764
173,Micronesia,544321,0.0098,549655.3458
174,Malta,535064,0.0033,536829.7112
175,Maldives,521021,-0.0053,518259.5887
176,Brunei,452524,0.0078,456053.6872
177,Bahamas,412623,0.0064,415263.7872
178,Belize,410825,0.0137,416453.3025
179,Guadeloupe,395839,0.0002,395918.1678
180,Iceland,375318,0.0065,377757.567
181,Martinique,366981,-0.0014,366467.2266
182,Mayotte,335995,0.0303,346175.6485
183,Vanuatu,334506,0.0238,342467.2428
184,French Guiana,312155,0.0249,319927.6595
185,French Polynesia,308872,0.0085,311497.412
186,New Caledonia,292991,0.0105,296067.4055
187,Barbados,281995,0.0013,282361.5935
188,Sao Tome & Principe,231856,0.0197,236423.5632
189,Samoa,225681,0.0148,229021.0788
190,Curaçao,192077,0.0048,192998.9696
191,Saint Lucia,180251,0.0022,180647.5522
192,Guam,172952,0.0069,174145.3688
193,Kiribati,133515,0.0174,135838.161
194,Grenada,126183,0.0059,126927.4797
195,Tonga,107773,0.0086,108699.8478
196,Seychelles,107660,0.0051,108209.066
197,Aruba,106277,-0.0016,106106.9568
198,St. Vincent & Grenadines,103698,-0.0024,103449.1248
199,U.S. Virgin Islands,98750,-0.0072,98039
200,Antigua and Barbuda,94298,0.0057,94835.4986
201,Isle of Man,84710,0.0023,84904.833
202,Andorra,80088,0.0033,80352.2904
203,Dominica,73040,0.0042,73346.768
204,Cayman Islands,69310,0.0088,69919.928
205,Bermuda,64069,-0.0018,63953.6758
206,Greenland,56643,0.0031,56818.5933
207,Faeroe Islands,53270,0.0034,53451.118
208,Northern Mariana Islands,49796,0.0049,50040.0004
209,Saint Kitts & Nevis,47755,0.0021,47855.2855
210,Turks and Caicos,46062,0.0079,46425.8898
211,Sint Maarten,44222,0.0011,44270.6442
212,American Samoa,43914,-0.0081,43558.2966
213,Marshall Islands,41996,0.0103,42428.5588
214,Liechtenstein,39584,0.0065,39841.296
215,Monaco,36297,-0.0047,36126.4041
216,San Marino,33642,-0.0005,33625.179
217,Gibraltar,32688,0.0012,32727.2256
218,Saint Martin,32077,0.009,32365.693
219,British Virgin Islands,31538,0.0074,31771.3812
220,Caribbean Netherlands,27148,0.0045,27270.166
221,Palau,18058,0.0002,18061.6116
222,Cook Islands,17044,0.0019,17076.3836
223,Anguilla,15899,0.0026,15940.3374
224,Nauru,12780,0.0088,12892.464
225,Wallis & Futuna,11502,-0.006,11432.988
226,Tuvalu,11396,0.0074,11480.3304
227,Saint Barthelemy,10994,0.0025,11021.485
228,Saint Pierre & Miquelon,5840,-0.0038,5817.808
229,Saint Helena,5314,-0.0112,5254.4832
230,Montserrat,4386,-0.0009,4382.0526
231,Falkland Islands,3791,0.0029,3801.9939
232,Niue,1935,0.0005,1935.9675
233,Tokelau,1893,0.0118,1915.3374
234,Holy See,518,0.0157,526.1326
